"","depth","eta","error"
"1",2,0.01,0.21
"2",2,0.03,0.148
"3",2,0.05,0.158
"4",2,0.07,0.178
"5",2,0.09,0.138
"6",3,0.01,0.206
"7",3,0.03,0.148
"8",3,0.05,0.162
"9",3,0.07,0.156
"10",3,0.09,0.15
"11",4,0.01,0.214
"12",4,0.03,0.202
"13",4,0.05,0.19
"14",4,0.07,0.194
"15",4,0.09,0.148
"16",5,0.01,0.228
"17",5,0.03,0.2
"18",5,0.05,0.178
"19",5,0.07,0.18
"20",5,0.09,0.182
"21",6,0.01,0.212
"22",6,0.03,0.172
"23",6,0.05,0.19
"24",6,0.07,0.196
"25",6,0.09,0.144
"26",7,0.01,0.2
"27",7,0.03,0.206
"28",7,0.05,0.162
"29",7,0.07,0.144
"30",7,0.09,0.154
"31",8,0.01,0.21
"32",8,0.03,0.206
"33",8,0.05,0.154
"34",8,0.07,0.138
"35",8,0.09,0.144
"36",9,0.01,0.2
"37",9,0.03,0.24
"38",9,0.05,0.144
"39",9,0.07,0.186
"40",9,0.09,0.182
"41",10,0.01,0.214
"42",10,0.03,0.194
"43",10,0.04,0.168
"44",10,0.06,0.17
"45",10,0.08,0.15
"46",10,0.1,0.228
